# Track list imported from the Spotify playlist "The Panda's Melody".
# Columns: title <TAB> artist <TAB> pinyin title <TAB> english title <TAB> level
# Duplicates in the source playlist have been collapsed.
# Every track here is contemporary and in copyright, so entries carry
# rights: copyrighted — a listening link, notes and vocabulary, never lyrics.
晚安	颜人中	Wǎn'ān	Good Night	beginner
14天	Eric Chou 周興哲	Shísì Tiān	14 Days	intermediate
All About You	Dragon Pig, Cnballer, Cloud Wang, Bravex	—	All About You	intermediate
不如	秦海清	Bùrú	Better If	intermediate
終於結束的起點	Mayday 五月天	Zhōngyú Jiéshù de Qǐdiǎn	The Starting Point That Finally Ended	advanced
hair tie	ØZI	—	hair tie	intermediate
想说	Lambert凌	Xiǎng Shuō	Want to Say	beginner
Tides	Dizzy Dizzo 蔡詩芸, 高爾宣 OSN	—	Tides	intermediate
Circles	高爾宣 OSN	—	Circles	intermediate
0321	space x	—	0321	beginner
Without You	高爾宣 OSN	—	Without You	intermediate
Somebody Else	高爾宣 OSN	—	Somebody Else	intermediate
Crush On	李浩瑋 Howard Lee	—	Crush On	intermediate
一個人	Jackson Wang 王嘉爾	Yī Gè Rén	Alone	beginner
迷失幻境	In K, 王忻辰	Míshī Huànjìng	Lost Illusion	advanced
夜空中最亮的星	Escape Plan 逃跑計劃	Yèkōng Zhōng Zuì Liàng de Xīng	The Brightest Star in the Night Sky	intermediate
一萬次悲傷	Escape Plan 逃跑計劃	Yī Wàn Cì Bēishāng	Ten Thousand Sorrows	advanced
No Reason	Ryan.B, effie	—	No Reason	intermediate
trust me	sunkis	—	trust me	beginner
间距	en	Jiānjù	Distance Between	intermediate
怎麼好意思	Eric Chou 周興哲	Zěnme Hǎoyìsi	How Could I	intermediate
小時候的我們	Eric Chou 周興哲	Xiǎoshíhòu de Wǒmen	The Us of Childhood	intermediate
哪里都是你	隊長	Nǎlǐ Dōu Shì Nǐ	You Are Everywhere	beginner
像极了	Ryan.B	Xiàng Jí Le	Just Like	intermediate
楼顶上的小斑鸠	隊長	Lóudǐng Shàng de Xiǎo Bānjiū	The Little Dove on the Roof	intermediate
清空	王忻辰, 苏星婕	Qīngkōng	Cleared Out	intermediate
静悄悄	大泫	Jìng Qiāoqiāo	Quietly	beginner
形容	沈以誠	Xíngróng	To Describe	intermediate
失眠飛行	接個吻開一槍, 沈以誠, 薛明媛	Shīmián Fēixíng	Insomnia Flight	intermediate
慢热	满舒克	Màn Rè	Slow to Warm	intermediate
天外來物	Joker Xue 薛之謙	Tiānwài Láiwù	Object from Beyond	advanced
银河與星斗	Yihuik苡慧	Yínhé Yǔ Xīngdǒu	Galaxy and Stars	intermediate
夏天	Nicky Lee 李玖哲	Xiàtiān	Summer	beginner
有些	颜人中	Yǒuxiē	Some Things	intermediate
茫	李润祺	Máng	Adrift	intermediate
四季予你	程響	Sìjì Yǔ Nǐ	Four Seasons for You	intermediate
自娱自乐	金志文	Zìyú Zìlè	Amusing Myself	intermediate
察觉	音格概念, 逸霄	Chájué	Noticing	intermediate
忘記你	Patrick Brasca 派偉俊, Tyson Yoshi	Wàngjì Nǐ	Forget You	intermediate
是想你的声音啊	Winnie Jiang 蔣雪兒	Shì Xiǎng Nǐ de Shēngyīn A	It's the Sound of Missing You	intermediate
So Bad	高爾宣 OSN	—	So Bad	intermediate
坠	你的大表哥曲甲	Zhuì	Falling	intermediate
执迷不悟	小乐哥 王唯乐	Zhímí Bùwù	Stubbornly Unrepentant	advanced
爱，存在	王靖雯	Ài, Cúnzài	Love Exists	intermediate
失眠的夜	宋孟君	Shīmián de Yè	Sleepless Night	intermediate
遇到	颜人中	Yùdào	To Meet	beginner
善變	王靖雯	Shànbiàn	Fickle	intermediate
来迟	戴羽彤	Láichí	Come Too Late	intermediate
好喜歡你	颜人中	Hǎo Xǐhuān Nǐ	I Like You So Much	beginner
愛我的時候	Eric Chou 周興哲, 單依純	Ài Wǒ de Shíhòu	When You Loved Me	intermediate
气象站台	Uu	Qìxiàng Zhàntái	Weather Station	intermediate
落差	In K, 王忻辰	Luòchā	The Gap	intermediate
恋爱画板	锦零	Liàn'ài Huàbǎn	Love Sketchpad	intermediate
紳士	Joker Xue 薛之謙	Shēnshì	Gentleman	intermediate
丑八怪	Joker Xue 薛之謙	Chǒubāguài	Ugly	advanced
離開的那一些	Eric Chou 周興哲	Líkāi de Nà Yīxiē	Those Who Left	intermediate
離開的那一天	JJ Lin 林俊傑	Líkāi de Nà Yī Tiān	The Day of Leaving	intermediate
天涯海角	Leehom Wang 王力宏	Tiānyá Hǎijiǎo	Ends of the Earth	intermediate
不是因為天氣晴朗才愛你	Bestards	Bù Shì Yīnwèi Tiānqì Qínglǎng Cái Ài Nǐ	I Don't Love You Because the Weather Is Fine	advanced
回憶	Dizzy Dizzo 蔡詩芸	Huíyì	Memories	intermediate
別問很可怕	J.Sheon	Bié Wèn Hěn Kěpà	Don't Ask, It's Frightening	intermediate
会不会	刘大壮	Huì Bù Huì	Could It Be	beginner
忘了没有	王靖雯	Wàng Le Méiyǒu	Have You Forgotten	intermediate
下雨天	与少年他, 芝麻Mochi	Xiàyǔ Tiān	Rainy Day	beginner
记忆停留	蓝心羽	Jìyì Tíngliú	Memory Lingers	intermediate
for ya	蒋小呢	—	for ya	beginner
慢慢等	WeiBird 韋禮安	Mànmàn Děng	Wait Slowly	intermediate
當你	JJ Lin 林俊傑	Dāng Nǐ	When You	intermediate
围绕	space x	Wéirào	Encircle	intermediate
