# Hit FM 年度百大單曲 (Taiwan) — annual chart entries.
# Columns: title <TAB> artist <TAB> pinyin title <TAB> english title <TAB> level
#
# Sources: the number-one single for every year 1998–2025, plus the
# Chinese-language entries from the published top tens for 2019, 2020 and 2021.
# Non-Chinese chart entries (Hikaru Utada, SUPER JUNIOR, BTS, LiSA, Adele,
# aespa, Huntrix and so on) are omitted — this is a Chinese-learning site.
#
# Every track is contemporary and in copyright: entries carry a video, notes
# and vocabulary, never lyrics.

# --- annual number ones ---
對面的女孩看過來	Richie Jen 任賢齊	Duìmiàn de Nǚhái Kàn Guòlái	Look Over Here, Girl	intermediate
溫柔	Mayday 五月天	Wēnróu	Tenderness	intermediate
任性	Stefanie Sun 孫燕姿	Rènxìng	Wilful	intermediate
暗號	Jay Chou 周杰倫	Ànhào	Secret Code	intermediate
遇見	Stefanie Sun 孫燕姿	Yùjiàn	Encounter	beginner
七里香	Jay Chou 周杰倫	Qīlǐxiāng	Common Jasmine Orange	advanced
夜曲	Jay Chou 周杰倫	Yèqǔ	Nocturne	advanced
今天你要嫁給我	David Tao 陶喆, Jolin Tsai 蔡依林	Jīntiān Nǐ Yào Jià Gěi Wǒ	Marry Me Today	intermediate
日不落	Jolin Tsai 蔡依林	Rì Bù Luò	The Sun Never Sets	intermediate
洋蔥	Aska Yang 楊宗緯	Yángcōng	Onion	intermediate
美人計	Jolin Tsai 蔡依林	Měirénjì	Honey Trap	intermediate
水手怕水	Jay Chou 周杰倫	Shuǐshǒu Pà Shuǐ	Sailor Afraid of Water	advanced
我不願讓你一個人	Mayday 五月天	Wǒ Bù Yuàn Ràng Nǐ Yī Gè Rén	I Won't Let You Be Lonely	intermediate
Play我呸	Jolin Tsai 蔡依林	Play Wǒ Pēi	Play	advanced
小幸運	Hebe Tien 田馥甄	Xiǎo Xìngyùn	A Little Happiness	beginner
不為誰而作的歌	JJ Lin 林俊傑	Bù Wèi Shuí Ér Zuò de Gē	Twilight	advanced
偉大的渺小	JJ Lin 林俊傑	Wěidà de Miǎoxiǎo	Little Big Us	advanced
怪美的	Jolin Tsai 蔡依林	Guài Měi de	Ugly Beauty	intermediate
我比從前想你了	Bii 畢書盡	Wǒ Bǐ Cóngqián Xiǎng Nǐ Le	I Miss You More Than Before	intermediate
無人知曉	Hebe Tien 田馥甄	Wúrén Zhīxiǎo	Untold	intermediate
如果可以	WeiBird 韋禮安	Rúguǒ Kěyǐ	Red Scarf	intermediate
偷走你的心	Nine Chen 陳零九, Feng Ze 邱鋒澤	Tōuzǒu Nǐ de Xīn	Steal Your Love	intermediate
孤獨娛樂	JJ Lin 林俊傑	Gūdú Yúlè	Happily, Painfully After	advanced
星期五晚上	Energy	Xīngqīwǔ Wǎnshàng	Friday Night	beginner

# --- 2019 top ten (Chinese-language entries) ---
說好不哭	Jay Chou 周杰倫, 五月天阿信	Shuō Hǎo Bù Kū	We Agreed Not to Cry	intermediate
對的時間點	JJ Lin 林俊傑	Duì de Shíjiān Diǎn	The Right Moment	intermediate
美麗、醜與我	獅子LION	Měilì, Chǒu Yǔ Wǒ	Beauty, Ugliness and Me	intermediate
太空人	吳青峰	Tàikōngrén	Astronaut	advanced
句號	G.E.M. 鄧紫棋	Jùhào	Full Stop	intermediate

# --- 2020 top ten (Chinese-language entries) ---
刻在我心底的名字	盧廣仲	Kè Zài Wǒ Xīndǐ de Míngzì	Your Name Engraved Herein	intermediate
交換餘生	JJ Lin 林俊傑	Jiāohuàn Yúshēng	Exchanging What Life Remains	advanced
猴籠	Jam Hsiao 蕭敬騰	Hóu Lóng	Monkey Cage	intermediate
撞	Bii 畢書盡	Zhuàng	Collide	intermediate
懸日	Hebe Tien 田馥甄	Xuán Rì	Suspended Sun	advanced
摩登原始人	炎亞綸	Módēng Yuánshǐrén	Modern Caveman	intermediate

# --- 2021 top ten (Chinese-language entries) ---
看見愛情	Bii 畢書盡	Kànjiàn Àiqíng	Seeing Love	intermediate
不完美的我	Jam Hsiao 蕭敬騰	Bù Wánměi de Wǒ	Imperfect Me	intermediate
我很好騙	Power Station 動力火車	Wǒ Hěn Hǎo Piàn	I'm Easy to Fool	intermediate
