# Hit FM 年度百首單曲 — top ten entries, 1999–2024.
# Scraped from the tw-pop-chart archive, then filtered and romanised by hand.
#
# Dropped: Japanese and Korean acts that charted with Chinese-rendered titles
# (Kinki Kids, Ken Hirai, w-inds., NEWS, RADWIMPS, LiSA, SUPER JUNIOR, Thelma
# Aoyama), English-language releases, a soundtrack album rather than a song,
# and titles already in the catalogue.
#
# Columns: title <TAB> artist <TAB> pinyin <TAB> english <TAB> level
# All contemporary and in copyright: video, notes and vocabulary — never lyrics.

不想讓你知道	周蕙 Chou Hui	Bù Xiǎng Ràng Nǐ Zhīdào	I Don't Want You to Know	intermediate
心如刀割	張學友 Jacky Cheung	Xīn Rú Dāo Gē	Heart Cut as by a Knife	intermediate
志明與春嬌	五月天 Mayday	Zhìmíng Yǔ Chūnjiāo	Zhiming and Chunjiao	advanced
走在紅毯那一天	彭佳慧 Julia Peng	Zǒu Zài Hóngtǎn Nà Yī Tiān	The Day I Walk the Red Carpet	intermediate
離開我	陶晶瑩 Matilda Tao	Líkāi Wǒ	Leave Me	beginner
為什麼你背著我愛別人	許志安 Andy Hui	Wèishénme Nǐ Bèizhe Wǒ Ài Biérén	Why Do You Love Another Behind My Back	intermediate
好想好好愛你	周蕙 Chou Hui	Hǎo Xiǎng Hǎohǎo Ài Nǐ	I Want to Love You Properly	beginner
愛情證書	孫燕姿 Stefanie Sun	Àiqíng Zhèngshū	Certificate of Love	intermediate
奇蹟	張宇 Phil Chang	Qíjì	Miracle	beginner
普通朋友	陶喆 David Tao	Pǔtōng Péngyǒu	Just Friends	intermediate
如果有一天	梁靜茹 Fish Leong	Rúguǒ Yǒu Yī Tiān	If One Day	beginner
簡單愛	周杰倫 Jay Chou	Jiǎndān Ài	Simple Love	beginner
戀人未滿	S.H.E	Liànrén Wèimǎn	Not Quite Lovers	intermediate
人生海海	五月天 Mayday	Rénshēng Hǎihǎi	Life Is a Wide Sea	advanced
記得	張惠妹 A-Mei	Jìdé	Remember	beginner
親愛的你怎麼不在身邊	江美琪 Maggie Chiang	Qīn'ài de Nǐ Zěnme Bù Zài Shēnbiān	Darling, Why Aren't You Here	intermediate
刀馬旦	李玟 CoCo Lee	Dāo Mǎ Dàn	The Warrior Maiden	advanced
無條件為你	梁靜茹 Fish Leong	Wútiáojiàn Wèi Nǐ	Unconditionally for You	intermediate
黑色柳丁	陶喆 David Tao	Hēisè Liǔdīng	Black Tangerine	advanced
分手快樂	梁靜茹 Fish Leong	Fēnshǒu Kuàilè	Happy Breakup	intermediate
熱帶雨林	S.H.E	Rèdài Yǔlín	Tropical Rainforest	intermediate
回到過去	周杰倫 Jay Chou	Huídào Guòqù	Back to the Past	intermediate
討厭紅樓夢	陶喆 David Tao	Tǎoyàn Hónglóumèng	Sick of Dream of the Red Chamber	advanced
我不愛	孫燕姿 Stefanie Sun	Wǒ Bù Ài	I Don't Love	beginner
愛的主打歌	蕭亞軒 Elva Hsiao	Ài de Zhǔdǎgē	Love's Lead Single	intermediate
晴天	周杰倫 Jay Chou	Qíngtiān	Sunny Day	intermediate
說愛你	蔡依林 Jolin Tsai	Shuō Ài Nǐ	Say You Love Me	beginner
今天沒回家	陶喆 David Tao	Jīntiān Méi Huí Jiā	Didn't Come Home Today	intermediate
你不在	王力宏 Leehom Wang	Nǐ Bù Zài	You're Not Here	beginner
我的愛	孫燕姿 Stefanie Sun	Wǒ de Ài	My Love	beginner
聽不到	梁靜茹 Fish Leong	Tīng Bù Dào	I Can't Hear	beginner
江南	林俊傑 JJ Lin	Jiāngnán	Jiangnan	intermediate
就是愛	蔡依林 Jolin Tsai	Jiùshì Ài	It's Just Love	beginner
候鳥	S.H.E	Hòuniǎo	Migratory Bird	intermediate
藉口	周杰倫 Jay Chou	Jièkǒu	Excuse	intermediate
天空	蔡依林 Jolin Tsai	Tiānkōng	Sky	beginner
心中的日月	王力宏 Leehom Wang	Xīnzhōng de Rìyuè	The Sun and Moon in My Heart	advanced
珊瑚海	周杰倫 Jay Chou, Lara	Shānhú Hǎi	Coral Sea	intermediate
戀愛ING	五月天 Mayday	Liàn'ài ING	Falling in Love	beginner
第一天	孫燕姿 Stefanie Sun	Dì Yī Tiān	The First Day	beginner
千里之外	周杰倫 Jay Chou, 費玉清 Fei Yu-ching	Qiānlǐ Zhī Wài	A Thousand Miles Away	advanced
假裝	蔡依林 Jolin Tsai	Jiǎzhuāng	Pretend	intermediate
只對你有感覺	飛輪海 Fahrenheit, Hebe 田馥甄	Zhǐ Duì Nǐ Yǒu Gǎnjué	Only You Move Me	intermediate
聽媽媽的話	周杰倫 Jay Chou	Tīng Māma de Huà	Listen to Your Mother	intermediate
觸電	S.H.E	Chùdiàn	Electric Shock	intermediate
不能說的秘密	周杰倫 Jay Chou	Bù Néng Shuō de Mìmì	Secret	intermediate
崇拜	梁靜茹 Fish Leong	Chóngbài	Adoration	intermediate
天使	五月天 Mayday	Tiānshǐ	Angel	beginner
無與倫比的美麗	蘇打綠 Sodagreen	Wúyǔlúnbǐ de Měilì	Incomparable Beauty	advanced
我懷念的	孫燕姿 Stefanie Sun	Wǒ Huáiniàn de	What I Miss	intermediate
稻香	周杰倫 Jay Chou	Dàoxiāng	The Scent of Rice	intermediate
鴿子	楊宗緯 Aska Yang	Gēzi	Dove	intermediate
原諒我	蕭敬騰 Jam Hsiao	Yuánliàng Wǒ	Forgive Me	beginner
伯樂	林宥嘉 Yoga Lin	Bólè	The Talent Spotter	advanced
王妃	蕭敬騰 Jam Hsiao	Wángfēi	The Princess	intermediate
我不會愛	蕭敬騰 Jam Hsiao	Wǒ Bù Huì Ài	I Don't Know How to Love	intermediate
說謊	林宥嘉 Yoga Lin	Shuōhuǎng	Lying	intermediate
阿飛的小蝴蝶	蕭敬騰 Jam Hsiao	Āfēi de Xiǎo Húdié	A-Fei's Little Butterfly	intermediate
花蝴蝶	蔡依林 Jolin Tsai	Huā Húdié	Butterfly	intermediate
超人不會飛	周杰倫 Jay Chou	Chāorén Bù Huì Fēi	Superman Can't Fly	intermediate
錯的人	蕭亞軒 Elva Hsiao	Cuò de Rén	The Wrong Person	intermediate
你不知道的事	王力宏 Leehom Wang	Nǐ Bù Zhīdào de Shì	Things You Don't Know	intermediate
愛的主場秀	羅志祥 Show Lo	Ài de Zhǔchǎng Xiù	Love's Home Game	intermediate
雨下一整晚	周杰倫 Jay Chou	Yǔ Xià Yī Zhěng Wǎn	Rain All Night Long	intermediate
當冬夜漸暖	孫燕姿 Stefanie Sun	Dāng Dōngyè Jiàn Nuǎn	As Winter Nights Grow Warm	intermediate
那個男人	楊宗緯 Aska Yang	Nàge Nánrén	That Man	intermediate
我最親愛的	張惠妹 A-Mei	Wǒ Zuì Qīn'ài de	My Dearest	intermediate
狂想曲	蕭敬騰 Jam Hsiao	Kuángxiǎngqǔ	Rhapsody	advanced
大藝術家	蔡依林 Jolin Tsai	Dà Yìshùjiā	The Great Artist	intermediate
學不會	林俊傑 JJ Lin	Xué Bù Huì	Never Learning	intermediate
花又開好了	S.H.E	Huā Yòu Kāi Hǎo Le	The Flowers Have Bloomed Again	intermediate
逞強	蕭亞軒 Elva Hsiao	Chěngqiáng	Putting On a Brave Face	intermediate
乾杯	五月天 Mayday	Gānbēi	Cheers	intermediate
詩人漫步	蔡依林 Jolin Tsai	Shīrén Mànbù	The Poet Strolls	advanced
我好想你	蘇打綠 Sodagreen	Wǒ Hǎo Xiǎng Nǐ	I Miss You So	beginner
明明就	周杰倫 Jay Chou	Míngmíng Jiù	Plainly	intermediate
愛投羅網	羅志祥 Show Lo	Ài Tóu Luówǎng	Walking Into Love's Net	advanced
渺小	田馥甄 Hebe Tien	Miǎoxiǎo	Insignificant	intermediate
天使之翼	楊丞琳 Rainie Yang	Tiānshǐ Zhī Yì	An Angel's Wings	intermediate
可惜沒如果	林俊傑 JJ Lin	Kěxī Méi Rúguǒ	A Pity There Is No If	intermediate
不過失去了一點點	曾沛慈 Pets Tseng	Bùguò Shīqù Le Yīdiǎndiǎn	Only Lost a Little	intermediate
夠了	羅志祥 Show Lo	Gòu Le	Enough	beginner
算什麼男人	周杰倫 Jay Chou	Suàn Shénme Nánrén	What Kind of Man	intermediate
餘波盪漾	田馥甄 Hebe Tien	Yúbō Dàngyàng	Ripples Still Spreading	advanced
後來的我們	五月天 Mayday	Hòulái de Wǒmen	The Us That Came After	intermediate
不該	周杰倫 Jay Chou, aMEI 張惠妹	Bù Gāi	Shouldn't	intermediate
最後的請求	獅子合唱團 LION	Zuìhòu de Qǐngqiú	The Last Request	intermediate
年輪說	楊丞琳 Rainie Yang	Niánlún Shuō	What the Tree Rings Say	advanced
滿座	李榮浩 Ronghao Li	Mǎnzuò	A Full House	intermediate
我想你了	Bii 畢書盡	Wǒ Xiǎng Nǐ Le	I Miss You	beginner
連名帶姓	aMEI 張惠妹	Lián Míng Dài Xìng	Full Name	intermediate
風衣	孫燕姿 Stefanie Sun	Fēngyī	Windbreaker	intermediate
我們的愛	獅子合唱團 LION	Wǒmen de Ài	Our Love	beginner
啞巴	潘瑋柏 Wilber Pan	Yǎba	Mute	intermediate
就這樣	李榮浩 Ronghao Li	Jiù Zhèyàng	Just Like That	beginner
欲望反光	蕭敬騰 Jam Hsiao	Yùwàng Fǎnguāng	The Glare of Desire	advanced
十七	S.H.E	Shíqī	Seventeen	beginner
聊傷	Bii 畢書盡	Liáo Shāng	Talking Wounds	intermediate
耳朵	李榮浩 Ronghao Li	Ěrduo	Ears	beginner
為你寫下這首情歌	五月天 Mayday	Wèi Nǐ Xiě Xià Zhè Shǒu Qínggē	I Wrote This Love Song for You	intermediate
想知道你在想什麼	Eric Chou 周興哲	Xiǎng Zhīdào Nǐ Zài Xiǎng Shénme	I Want to Know What You're Thinking	intermediate
好不容易	告五人 Accusefive	Hǎo Bù Róngyì	Only With Great Difficulty	intermediate
水星座	AcQUA源少年	Shuǐ Xīngzuò	Aquarius	intermediate
途	張哲瀚 Zhang Zhehan	Tú	The Road	beginner
愛沒有錯	蕭亞軒 Elva Hsiao	Ài Méiyǒu Cuò	Love Is Not Wrong	intermediate
願與愁	林俊傑 JJ Lin	Yuàn Yǔ Chóu	Wishes and Sorrows	advanced
白夜	蕭敬騰 Jam Hsiao	Báiyè	White Night	intermediate
你是我這輩子最想愛的呀	W0LF(S) 五堅情	Nǐ Shì Wǒ Zhè Bèizi Zuì Xiǎng Ài de Ya	You're the One I Most Want to Love	intermediate
頭號玩家	張哲瀚 Zhang Zhehan	Tóuhào Wánjiā	Player One	intermediate
俯衝的靈魂	動力火車 Power Station, 林俊傑 JJ Lin	Fǔchōng de Línghún	The Diving Soul	advanced
絕不絕	林俊傑 JJ Lin	Jué Bù Jué	Absolute, or Not	advanced
誰不想	林宥嘉 Yoga Lin	Shuí Bù Xiǎng	Who Wouldn't Want To	intermediate
一起看月彎彎	Ozone	Yīqǐ Kàn Yuè Wānwān	Watching the Crescent Moon Together	beginner
善良的我們	蔡健雅 Tanya Chua	Shànliáng de Wǒmen	The Kind People We Were	intermediate
